Anime Title,Year Aired,Rating,Status,Number of Episode,Genre,Source
Owari no Seraph,2015,7.49,Finished,12,"['Action', 'Drama', 'Fantasy']",Manga
Enen no Shouboutai,2019,7.71,Finished,24,"['Action', 'Fantasy', 'Sci-Fi']",Manga
Shingeki no Kyojin: The Final Season Part 2,2022,8.77,Finished,12,"['Action', 'Drama', 'Suspense']",Manga
Mononoke Hime,1997,8.66,Finished,1,"['Action', 'Adventure', 'Award Winning', 'Fantasy']",Original
Tokyo Revengers,2021,7.94,Finished,24,"['Action', 'Drama', 'Supernatural']",Manga
Deadman Wonderland,2011,7.14,Finished,12,"['Action', 'Horror', 'Sci-Fi', 'Supernatural']",Manga
Samurai Champloo,2004,8.51,Finished,26,"['Action', 'Adventure', 'Comedy']",Original
Dragon Ball Z,1989,8.17,Finished,291,"['Action', 'Adventure', 'Comedy', 'Fantasy']",Manga
Dororo,2019,8.25,Finished,24,"['Action', 'Adventure', 'Supernatural']",Source
Guilty Crown,2011,7.41,Finished,22,"['Action', 'Drama', 'Sci-Fi']",Original
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,2014,8.1,Finished,24,"['Action', 'Adventure', 'Supernatural']",Manga
Tokyo Ghoul:re,2018,6.37,Finished,12,"['Action', 'Fantasy', 'Horror']",Manga
Kuroshitsuji,2008,7.66,Finished,24,"['Action', 'Fantasy', 'Mystery']",Manga
Boku no Hero Academia 5th Season,2021,7.38,Finished,25,['Action'],Manga
Kyoukai no Kanata,2013,7.72,Finished,12,"['Action', 'Fantasy']",Light novel
Devilman: Crybaby,2018,7.75,Finished,10,"['Action', 'Avant Garde', 'Horror', 'Supernatural']",Manga
Nanatsu no Taizai: Imashime no Fukkatsu,2018,7.57,Finished,24,"['Action', 'Adventure', 'Fantasy']",Manga
Goblin Slayer,2018,7.42,Finished,12,"['Action', 'Adventure', 'Fantasy']",Light novel
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,2016,8.5,Finished,39,"['Action', 'Adventure', 'Supernatural']",Manga
Log Horizon,2013,7.92,Finished,25,"['Action', 'Adventure', 'Fantasy']",Light novel
Fate/Zero 2nd Season,2012,8.55,Finished,12,"['Action', 'Fantasy', 'Supernatural']",Light novel
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,2015,8.44,Finished,24,"['Action', 'Adventure', 'Supernatural']",Manga
Fate/stay night: Unlimited Blade Works,2014,8.18,Finished,12,"['Action', 'Fantasy', 'Supernatural']",Visual novel
Gintama,2006,8.94,Finished,201,"['Action', 'Comedy', 'Sci-Fi']",Manga
Mahouka Koukou no Rettousei,2014,7.39,Finished,26,"['Action', 'Fantasy', 'Romance', 'Sci-Fi']",Light novel
Magi: The Labyrinth of Magic,2012,8.01,Finished,25,"['Action', 'Adventure', 'Fantasy']",Manga
Sword Art Online: Alicization,2018,7.57,Finished,24,"['Action', 'Adventure', 'Fantasy']",Light novel
Dragon Ball,1986,7.96,Finished,153,"['Action', 'Adventure', 'Comedy', 'Fantasy']",Manga
Date A Live,2013,7.15,Finished,12,"['Action', 'Fantasy', 'Romance', 'Sci-Fi']",Light novel
Overlord II,2018,7.76,Finished,13,"['Action', 'Adventure', 'Fantasy']",Light novel
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,2018,8.57,Finished,39,"['Action', 'Adventure', 'Supernatural']",Manga
Black Lagoon,2006,8.03,Finished,12,['Action'],Manga
Fairy Tail (2014),2014,7.65,Finished,102,"['Action', 'Adventure', 'Fantasy']",Source
Rakudai Kishi no Cavalry,2015,7.43,Finished,12,"['Action', 'Fantasy', 'Romance', 'Ecchi']",Source
Darker than Black: Kuro no Keiyakusha,2007,8.06,Finished,25,"['Action', 'Mystery', 'Sci-Fi']",Original
Tensei shitara Slime Datta Ken 2nd Season,2021,8.38,Finished,12,"['Action', 'Adventure', 'Comedy', 'Fantasy']",Manga
Fate/stay night,2006,7.28,Finished,24,"['Action', 'Fantasy', 'Romance', 'Supernatural']",Visual novel
Hellsing Ultimate,2006,8.35,Finished,10,"['Action', 'Horror', 'Supernatural']",Satelight
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",1997,8.55,Finished,1,"['Action', 'Avant Garde', 'Drama', 'Sci-Fi', 'Suspense']",Source
Black Bullet,2014,7.09,Finished,13,"['Action', 'Mystery', 'Sci-Fi']",Source
Kami no Tou,2020,7.55,Finished,13,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery']",Web manga
Youjo Senki,2017,7.96,Finished,12,"['Action', 'Fantasy']",Light novel
Jujutsu Kaisen 0 Movie,2021,8.45,Finished,1,"['Action', 'Fantasy']",Manga
High School DxD New,2013,7.47,Finished,12,"['Action', 'Comedy', 'Fantasy', 'Romance', 'Ecchi']",Light novel
The God of High School,2020,7.07,Finished,13,"['Action', 'Fantasy']",Web manga
Baccano!,2007,8.36,Finished,13,"['Action', 'Mystery', 'Supernatural']",Light novel
Overlord III,2018,7.92,Finished,13,"['Action', 'Adventure', 'Fantasy']",Light novel
Spy x Family Part 2,2022,8.27,Finished,13,"['Action', 'Comedy']",Source
Tokyo Ghoul:re 2nd Season,2018,6.44,Finished,12,"['Action', 'Fantasy', 'Horror']",Manga
Kekkai Sensen,2015,7.6,Finished,12,"['Action', 'Fantasy']",Manga
Boruto: Naruto Next Generations,2017,6.03,Finished,293,"['Action', 'Adventure', 'Fantasy']",Manga
Jujutsu Kaisen 2nd Season,2023,8.86,Finished,23,"['Action', 'Fantasy']",Manga
Btooom!,2012,7.28,Finished,12,"['Action', 'Sci-Fi', 'Suspense']",Manga
Banana Fish,2018,8.47,Finished,24,"['Action', 'Adventure', 'Drama', 'Suspense']",Manga
Bungou Stray Dogs 2nd Season,2016,8.18,Finished,12,"['Action', 'Mystery', 'Supernatural']",Manga
Fate/stay night: Unlimited Blade Works 2nd Season,2015,8.32,Finished,13,"['Action', 'Fantasy', 'Supernatural']",Visual novel
Akatsuki no Yona,2014,8.03,Finished,24,"['Action', 'Adventure', 'Fantasy', 'Romance']",Manga
Akira,1988,8.16,Finished,1,"['Action', 'Adventure', 'Horror', 'Sci-Fi', 'Supernatural']",Manga
Magi: The Kingdom of Magic,2013,8.21,Finished,25,"['Action', 'Adventure', 'Fantasy']",Manga
Trinity Seven,2014,7.05,Finished,12,"['Action', 'Comedy', 'Fantasy', 'Romance', 'Ecchi']",Manga
Dragon Ball Super,2015,7.44,Finished,131,"['Action', 'Adventure', 'Comedy', 'Fantasy']",Manga
FLCL,2000,8.03,Finished,6,"['Action', 'Avant Garde', 'Comedy', 'Sci-Fi', 'Suspense']",Source
Zero no Tsukaima,2006,7.22,Finished,13,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance', 'Ecchi']",Light novel
Toaru Majutsu no Index,2008,7.35,Finished,24,"['Action', 'Fantasy', 'Sci-Fi']",Light novel
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,2019,7.24,Finished,12,"['Action', 'Adventure', 'Fantasy']",Light novel
