Anime Title,Year Aired,Rating,Status,Number of Episode,Genre,Source
RahXephon,2002,7.38,Finished,26,"['Action', 'Award Winning', 'Drama', 'Mystery', 'Romance', 'Sci-Fi']",Original
Cop Craft,2019,6.71,Finished,12,"['Action', 'Fantasy', 'Mystery', 'Sci-Fi']",Light novel
Alice to Zouroku,2017,7.1,Finished,12,"['Adventure', 'Mystery']",Manga
Ranpo Kitan: Game of Laplace,2015,6.58,Finished,11,"['Mystery', 'Suspense']",Original
Shadows House 2nd Season,2022,8.01,Finished,12,"['Fantasy', 'Mystery']",Manga
Makai Ouji: Devils and Realist,2013,7.01,Finished,12,"['Comedy', 'Fantasy', 'Mystery']",Manga
Witch Hunter Robin,2002,7.24,Finished,26,"['Action', 'Drama', 'Mystery', 'Supernatural']",Original
"Trickster: Edogawa Ranpo ""Shounen Tanteidan"" yori",2016,6.25,Finished,24,"['Drama', 'Mystery', 'Sci-Fi']",Source
Lupin III: Cagliostro no Shiro,1979,8.15,Finished,1,"['Action', 'Adventure', 'Award Winning', 'Comedy', 'Mystery']",Manga
Kara no Kyoukai Movie: Mirai Fukuin,2013,8,Finished,1,"['Drama', 'Mystery', 'Supernatural']",Light novel
Hakkenden: Touhou Hakken Ibun,2013,7.39,Finished,13,"['Action', 'Fantasy', 'Mystery']",Manga
Speed Grapher,2005,7.3,Finished,24,"['Action', 'Mystery', 'Supernatural']",Original
Noir,2001,7.29,Finished,26,"['Action', 'Drama', 'Mystery']",Original
Kamonohashi Ron no Kindan Suiri,2023,7.45,Finished,13,"['Comedy', 'Mystery']",Manga
Higurashi no Naku Koro ni Sotsu,2021,6.73,Finished,15,"['Horror', 'Mystery', 'Supernatural']",Visual novel
Bloodivores,2016,5.47,Finished,12,"['Action', 'Mystery', 'Supernatural']",Source
Kaijuu no Kodomo,2019,7.2,Finished,1,"['Award Winning', 'Drama', 'Mystery', 'Supernatural']",Manga
Phi Brain: Kami no Puzzle,2011,7.17,Finished,25,"['Action', 'Mystery', 'Suspense']",Original
Kakegurui Twin,2022,7.21,Finished,6,"['Drama', 'Mystery']",Manga
Cuticle Tantei Inaba,2013,7.24,Finished,12,"['Comedy', 'Fantasy', 'Mystery']",Manga
Mo Dao Zu Shi: Xian Yun Pian,2019,8.37,Finished,8,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery']",Web novel
Kubikiri Cycle: Aoiro Savant to Zaregotozukai,2016,7.76,Finished,8,"['Drama', 'Mystery', 'Supernatural']",Light novel
Seikimatsu Occult Gakuin,2010,7.04,Finished,13,"['Comedy', 'Mystery', 'Sci-Fi', 'Supernatural']",Original
Super Danganronpa 2.5: Komaeda Nagito to Sekai no Hakaimono,2017,7.13,Finished,1,"['Action', 'Horror', 'Mystery']",Visual novel
Shiguang Dailiren II,2023,8.5,Finished,12,"['Drama', 'Mystery', 'Supernatural', 'Suspense']",Original
Jigoku Shoujo Mitsuganae,2008,7.61,Finished,26,"['Horror', 'Mystery', 'Supernatural']",Original
Lupin III,1971,7.63,Finished,23,"['Action', 'Adventure', 'Comedy', 'Mystery']",Manga
Cike Wu Liuqi,2018,7.86,Finished,10,"['Action', 'Comedy', 'Drama', 'Mystery', 'Romance']",Source
Bishounen Tanteidan,2021,7.1,Finished,12,['Mystery'],Novel
Mushishi Zoku Shou: Odoro no Michi,2014,8.43,Finished,1,"['Adventure', 'Mystery', 'Slice of Life', 'Supernatural']",Manga
Koukaku Kidoutai: Stand Alone Complex - Solid State Society,2006,8.1,Finished,1,"['Award Winning', 'Mystery', 'Sci-Fi']",Manga
B: The Beginning Succession,2021,6.2,Finished,6,"['Action', 'Mystery', 'Supernatural', 'Suspense']",Original
